model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Gradient Boosting,0,3,0,0,0.1,410,0,0,0,0,0.0,0,0,0.981,0.981,0.738,0.701,19.24656,26,8,2627,10,133098,46349.31945,264.63673
Gradient Boosting,0,3,0,0,0.1,90,0,0,0,0,0.0,0,0,0.814,0.793,0.732,0.686,2.43463,26,8,2627,10,133098,46349.31945,264.63673
Random Forest ,entropy,10,4,log2,0.0,190,0,0,0,0,0.0,0,0,0.79,0.757,0.73,0.666,0.41688,26,8,2627,10,135726,46349.31945,264.63673
Random Forest ,gini,17,4,sqrt,0.0,90,0,0,0,0,0.0,0,0,0.938,0.935,0.728,0.668,0.18351,26,8,2627,10,135726,46349.31945,264.63673
Random Forest ,gini,24,4,log2,0.0,70,0,0,0,0,0.0,0,0,0.949,0.946,0.724,0.663,0.14923,26,8,2627,10,135726,46349.31945,264.63673
Random Forest ,gini,25,12,sqrt,0.0,110,0,0,0,0,0.0,0,0,0.755,0.705,0.721,0.65,0.26753,26,8,2627,10,135726,46349.31945,264.63673
Random Forest ,gini,19,10,log2,0.0,70,0,0,0,0,0.0,0,0,0.784,0.741,0.719,0.659,0.13397,26,8,2627,10,135726,46349.31945,264.63673
Random Forest ,gini,11,14,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.716,0.649,0.717,0.642,0.09973,26,8,2627,10,135726,46349.31945,264.63673
Random Forest ,gini,9,4,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.736,0.679,0.715,0.645,0.1107,26,8,2627,10,135726,46349.31945,264.63673
Random Forest ,gini,18,20,log2,0.0,50,0,0,0,0,0.0,0,0,0.724,0.663,0.713,0.64,0.13847,26,8,2627,10,135726,46349.31945,264.63673
Random Forest ,gini,11,10,log2,0.0,50,0,0,0,0,0.0,0,0,0.743,0.688,0.711,0.629,0.09973,26,8,2627,10,135726,46349.31945,264.63673
Gradient Boosting,0,5,0,0,0.1,150,0,0,0,0,0.0,0,0,0.996,0.996,0.711,0.663,5.77755,26,8,2627,10,133098,46349.31945,264.63673
Gradient Boosting,0,5,0,0,0.1,50,0,0,0,0,0.0,0,0,0.906,0.901,0.709,0.676,1.97581,26,8,2627,10,133098,46349.31945,264.63673
Random Forest ,gini,13,4,log2,0.0,50,0,0,0,0,0.0,0,0,0.847,0.831,0.709,0.644,0.13165,26,8,2627,10,135726,46349.31945,264.63673
Decision Tree,entropy,4,3,,0.0,0,0,0,0,0,0.0,0,0,0.668,0.587,0.709,0.648,0.00495,26,8,2627,10,135726,46349.31945,264.63673
Decision Tree,entropy,5,7,,0.0,0,0,0,0,0,0.0,0,0,0.707,0.645,0.707,0.641,0.00702,26,8,2627,10,135726,46349.31945,264.63673
Random Forest ,gini,10,6,log2,0.0,50,0,0,0,0,0.0,0,0,0.751,0.699,0.707,0.63,0.10687,26,8,2627,10,135726,46349.31945,264.63673
Random Forest ,gini,17,16,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.733,0.671,0.705,0.626,0.10441,26,8,2627,10,135726,46349.31945,264.63673
Gradient Boosting,0,5,0,0,0.1,130,0,0,0,0,0.0,0,0,0.993,0.993,0.705,0.663,5.01526,26,8,2627,10,133098,46349.31945,264.63673
Decision Tree,entropy,7,4,,0.0,0,0,0,0,0,0.0,0,0,0.733,0.685,0.705,0.658,0.00897,26,8,2627,10,135726,46349.31945,264.63673
Decision Tree,entropy,4,10,,0.0,0,0,0,0,0,0.0,0,0,0.665,0.574,0.703,0.627,0.00502,26,8,2627,10,135726,46349.31945,264.63673
Gradient Boosting,0,5,0,0,0.1,110,0,0,0,0,0.0,0,0,0.985,0.985,0.703,0.659,4.43722,26,8,2627,10,133098,46349.31945,264.63673
Random Forest ,gini,13,10,log2,0.0,50,0,0,0,0,0.0,0,0,0.765,0.718,0.703,0.627,0.10673,26,8,2627,10,135726,46349.31945,264.63673
Gradient Boosting,0,5,0,0,0.1,30,0,0,0,0,0.0,0,0,0.853,0.839,0.702,0.656,1.18642,26,8,2627,10,133098,46349.31945,264.63673
Random Forest ,gini,11,10,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.739,0.681,0.702,0.625,0.09714,26,8,2627,10,135726,46349.31945,264.63673
